# arcade-merge-cards reviewed pairs — generated 2026-08-19
# system	srcCollapseKey	dstCollapseKey	signals	# srcTitle => dstTitle
gg	shadamcrusaderharukanaruoukoku	defendersofoasis	lb-alias	# Shadam Crusader - Harukanaru Oukoku => Defenders of Oasis
gg	shiningforceiiswordofhajya	shiningforcegaideniijashinnokakusei	lb-alias	# Shining Force II - The Sword of Hajya => Shining Force Gaiden II - Jashin no Kakusei
gg	skweek	slider	lb-alias	# Skweek => Slider
gg	virtuafightermini	virtuafighteranimation	lb-alias	# Virtua Fighter Mini => Virtua Fighter Animation
gg	zoolnoyumebouken	zoolninjaofnthdimension	lb-alias	# Zool no Yume Bouken => Zool - Ninja of the 'Nth' Dimension
n64	akumajoudraculamokushirokugaidenlegendofcornell	castlevanialegacyofdarkness	lb-alias	# Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell => Castlevania - Legacy of Darkness
n64	akumajoudraculamokushirokurealactionadventure	castlevania	lb-alias	# Akumajou Dracula Mokushiroku - Real Action Adventure => Castlevania
n64	banjotokazooienodaibouken	banjokazooie	lb-alias	# Banjo to Kazooie no Daibouken => Banjo-Kazooie
n64	batmanoffuturereturnofjoker	batmanbeyondreturnofjoker	lb-alias	# Batman of the Future - Return of the Joker => Batman Beyond - Return of the Joker
n64	biohazard2	residentevil2	lb-alias	# Biohazard 2 => Resident Evil 2
n64	blastdozer	blastcorps	lb-alias	# Blastdozer => Blast Corps
n64	bombermanheromirianoujoosukue	bombermanhero	lb-alias	# Bomber Man Hero - Mirian Oujo o Sukue! => Bomberman Hero
n64	citytourgpzennihongtsenshuken	gt64championshipedition	lb-alias	# City-Tour GP - Zen-Nihon GT Senshuken => GT64 - Championship Edition
n64	daffyduckstarringasduckdodgers	duckdodgersstarringdaffyduck	lb-alias	# Daffy Duck Starring as Duck Dodgers => Duck Dodgers Starring Daffy Duck
n64	defiautetrismagique	magicaltetrischallenge	lb-alias	# Defi au Tetris Magique => Magical Tetris Challenge
n64	donaldduckquackattack	donaldduckgoinquackers	lb-alias	# Donald Duck - Quack Attack => Donald Duck - Goin' Quackers
n64	fifaroadtoworldcup98worldcupenomichi	fifaroadtoworldcup98	lb-alias	# FIFA - Road to World Cup 98 - World Cup e no Michi => FIFA - Road to World Cup 98
n64	fightingcup	fightersdestiny	lb-alias	# Fighting Cup => Fighters Destiny
n64	ganbaregoemonderoderodouchuuobaketenkomori	goemonsgreatadventure	lb-alias,ra	# Ganbare Goemon - Dero Dero Douchuu Obake Tenkomori => Goemon's Great Adventure
n64	ganbaregoemonneomomoyamabakufunoodori	mysticalninjastarringgoemon	lb-alias	# Ganbare Goemon - Neo Momoyama Bakufu no Odori => Mystical Ninja Starring Goemon
n64	gspfightersnextream	deadlyarts	lb-alias	# G.A.S.P!! Fighters' NEXTream => Deadly Arts
n64	hiryuunokentwin	flyingdragon	lb-alias	# Hiryuu no Ken Twin => Flying Dragon
n64	hoshinokirby64	kirby64crystalshards	lb-alias	# Hoshi no Kirby 64 => Kirby 64 - The Crystal Shards
n64	iggykunnoburaburapoyon	iggysreckinballs	lb-alias	# Iggy-kun no Bura Bura Poyon => Iggy's Reckin' Balls
n64	jikkyouworldsoccerworldcupfrance98	internationalsuperstarsoccer98	lb-alias	# Jikkyou World Soccer - World Cup France '98 => International Superstar Soccer '98
n64	jikuusenshiturok	turokdinosaurhunter	lb-alias	# Jikuu Senshi Turok => Turok - Dinosaur Hunter
n64	kobebryantsnbacourtside	kobebryantinnbacourtside	lb-alias	# Kobe Bryant's NBA Courtside => Kobe Bryant in NBA Courtside
n64	letssmash	centrecourttennis	lb-alias	# Let's Smash => Centre Court Tennis
n64	magicaltetrischallengefeaturingmickey	magicaltetrischallenge	lb-alias	# Magical Tetris Challenge featuring Mickey => Magical Tetris Challenge
n64	mariostory	papermario	lb-alias,ra	# Mario Story => Paper Mario
n64	mickeynoracingchallengeusa	mickeysspeedwayusa	lb-alias	# Mickey no Racing Challenge USA => Mickey's Speedway USA
n64	nbapro98	nbainzone98	lb-alias	# NBA Pro 98 => NBA in the Zone '98
